idx,DOI,title,appropriate,reason,format,battery_system,cathode_material,anode_material,electrolyte_confirmed,additive_full_name,additive_abbr_name,boron_additive_full_name,boron_additive_abbr_name,abstract,year
379,10.1007/s00289-011-0575-z,Hyperbranched organoboron polymer electrolytes derived from glycerol,No,"Additive information is not provided or found, making it impossible to assess appropriateness.",Not found,Li-ion battery,Not found,Not found,Not found,Not found,Not found,Not found,Not found,"['Solid polymer electrolytes are still collecting attention today for development of safer Li-ion batteries. Introduction of boron moieties to electrolytes generally improves ion conductive properties of resultant electrolytes. Herein, we have undertaken dehydrocoupling reaction between glycerol (Gly)/triethylene glycol (TEG) and hydroborane to synthesize highly branched organoboron polymer electrolytes. Increase in amorphous nature of polymer due to branched structure improved the ionic conduction. This was supported from decreased Vogel-Fulcher-Tammann parameters corresponding to activation energy of ion transport in matrices. When Gly content was increased beyond [Gly]/[TEG] = 15%, ionic conductivity decreased due to decrease in solubility of the salt in organoboron polymer matrix.']",2011
380,10.1016/j.jpowsour.2010.08.020,Inorganic-organic polymer electrolytes based on poly(vinyl alcohol) and borane/Poly(ethylene glycol) monomethyl ether for Li-ion batteries,No,No additive information provided to assess appropriateness.,Not found,Li-ion battery,Not found,Not found,Polymer electrolytes based on PVA-PEGME copolymers doped with CF3SO3Li,Not found,Not found,Not found,Not found,"['In this study, poly(vinyl alcohol) (PVA) was modified with poly(ethylene glycol) monomethyl ether (PEGME) using borane-tetrahydrofuran (BH3/THF) complex. Molecular weights of both PVA and PEGME were varied prior to reaction. Boron containing comb-branched copolymers were produced and abbreviated as PVA1PEGMEX and PVA2PEGMEX. Then polymer electrolytes were successfully prepared by doping of the host matrix with CF3SO3Li at several stoichiomeric ratios with respect to EO to Li. The materials were characterized via nuclear magnetic resonance (H-1 NMR and B-11 NMR). Fourier transform infrared spectroscopy (FT-IR). Thermogravimetry (TG) and differential scanning calorimeter (DSC). The ionic conductivity of these novel polymer electrolytes were studied by dielectric-impedance spectroscopy. Li-ion conductivity of these polymer electrolytes depends on the length of the side units as well as the doping ratio. Such electrolytes possess satisfactory ambient temperature ionic conductivity (>10(-4) Scm(-1)). Cyclic voltammetry results illustrated that the electrochemical stability domain extends over 4V. (C) Elsevier B.V. All rights reserved.']",2010
381,10.1016/j.ssi.2013.07.009,Lithium borophosphate thin film electrolyte as an alternative to LiPON for solder-reflow processed lithium-ion microbatteries,No,Not found,Microbattery,Li-ion battery,Not found,Not found,Lithium borophosphate (LiPOB) thin films with various B/P ratios,Not found,Not found,Not found,Not found,"['Microbatteries are energy sources well adapted to power various microsystems. To be considered as a microelectronic component, the microbatteries must be compatible with the solder-reflow treatment During this industrial process, the temperature reaches 260 degrees C during few seconds. Having noticed an increase of the activation energy of the most used solid electrolyte lithium phosphate thin film (LiPON) after this type of thermal treatment, from 0.57 eV to 0.80 eV, we have investigated the correlations between composition, local structure (by XPS) and the electrical properties of lithium borophosphate solid electrolyte thin films. The lithium borophosphate thin films were prepared by radio-frequency sputtering using five different targets having the following compositions x LiBO2: (1 - x) Li3PO4 (x = 5, 10, 15, 20 and 25) in a pure argon discharge gas. In the absence of a thermal treatment, the addition of a small amount of boron (B/P ratio equal to 0.1) leads to an increase of the ionic conductivity (1.1 x 10(-6) S.cm(-1)) and a decrease of the activation energy (0.52 eV) compared to a pure lithium phosphate. However, for B/P ratio higher than 0.12, the ionic conductivity decreases, The study of the local structure by X-ray photoelectron spectroscopy (XPS) shows that the borate groups have less reacted with the phosphate groups leading to a phase separation reducing the connectivity between phosphate and borophosphate networks and so the ionic conductivity. The solder-reflow type thermal treatment leads to an increase of the ionic conductivity. The best ionic conductivity, 1.9 x 10(-6) S.cm(-1), is obtained for a B/P ratio equal to 0.24 with an activation energy of 0.57 eV instead of 0.80 eV for the LiPON thin film. For a use of Li-ion microbattery at low temperature after the solder-reflow type thermal treatment, the lithium borophosphate solid electrolyte would be a potential candidate to replace LiPON with several industrial advantages. (C) 2013 Elsevier B.V. All rights reserved.']",2013
382,10.1016/j.jpowsour.2010.08.082,Polyfluorinated boron cluster based slats: A new electrolyte for application in nonaqueous asymmetric AC/Li4Ti5O12 supercapacitors,Yes,Reasonable,SwagelokTM cells (two-electrode and three-electrode configurations),Asymmetric supercapacitor (hybrid system),Activated carbon (AC),Li4Ti5O12,"0.4 M Li2B12F12 in EC/DMC (1:1 volume), 0.4 M Li2B12F8H4 in EC/DMC (1:1 volume), and 1 M LiPF6 in EC/DMC (1:1 volume) as reference","Lithium polyfluorododecaborates (Li2B12FxZ12-x, where Z = H, Cl, or Br), specifically Li2B12F12 and Li2B12F8H4","Li2B12F12, Li2B12F8H4","Lithium polyfluorododecaborates (Li2B12FxZ12-x, where Z = H, Cl, or Br), specifically Li2B12F12 and Li2B12F8H4","Li2B12F12, Li2B12F8H4","['Solution of novel fluorinated lithium dodecaborate (Li2B12FxH12-x) salts have been evaluated as electrolytes in nonaqueous asymmetric supercapacitors with Li4Ti5O12 as negative electrode, and activated (AC) as positive electrode. The results obtained with these new electrolytes were compared with those obtained with cells built using standard 1M LiPF6 dissolved in ethylene carbonate and dimethyl carbonate (EC:DMC; 1:1, v/v) as electrolyte. The Specific energy, rate capability, and cycling performances of nonaqueous asymmetric cells based on these new electrolyte salts were studied. Cells assembled using the new fluoroborate salts show excellent reversibility, coulombic efficiency, rate capability and improved cyclability when compared with the standard electrolyte. These features confirm the suitability of lithium-fluoro-borate based salts to be used in nonaqueous asymmetric supercapacitors. (C) 2010 Elsevier B.V. All rights reserved.']",2010
383,10.5796/electrochemistry.78.467,Physical and Electrolytic Properties of Partially Fluorinated Methyl Propyl Carbonate and Its Application to Lithium Batteries,Yes,Reasonable,Coin,Li-ion battery,LiCoO2,Graphite,1M LiPF6 in EC/EMC (3:7 by wt.) with 2% FEC,Not found,Not found,Not found,Not found,"['The physical and electrolytic properties, and charge-discharge characteristics for secondary lithium batteries of partially fluorinated methyl propyl carbonate (MPC) derivatives were examined. Dielectric constants of the fluorinated MPC derivatives except 2,2,3,3,3-pentafluoropropyl methyl carbonate (PFPMC) tend to increase with increasing the number of fluorine atom. Viscosity of PFPMC with the highest molar volume is lower than those of other fluorinated MPC derivatives. Donor numbers (DN) of the fluorinated MPC derivatives were estimated by Si-29 NMR chemical shifts of triphenylsilanol. DN of the fluorinated MPC derivatives except PFPMC tends to decrease with increasing the number of fluorine atom. 3-Fluoropropyl methyl carbonate (FPMC) shows the highest specific conductivity at the temperature above about 25 degrees C. Oxidative decomposition potentials of the fluorinated MPC derivatives tend to increase with increasing the number of fluorine atom. PC-FPMC electrolyte shows higher lithium electrode cycling efficiency. Every PC-based fluorinated MPC derivative electrolyte shows higher discharge capacities for Li vertical bar LiCoO2 cells.']",2010
384,10.1002/smll.201801420,Effective Suppression of Lithium Dendrite Growth Using a Flexible Single-Ion Conducting Polymer Electrolyte,No,"Additive is not found, so it cannot be determined if it is appropriate for the battery's electrolyte requirements.",Coin,Lithium metal battery,LiFePO4,Lithium metal,Not found,Not found,Not found,Not found,Not found,"['A novel single-ion conducting polymer electrolyte (SIPE) membrane with high lithium-ion transference number, good mechanical strength, and excellent ionic conductivity is designed and synthesized by facile coupling of lithium bis(allylmalonato) borate (LiBAMB), pentaerythritol tetrakis (2-mercaptoacetate) (PETMP) and 3,6-dioxa-1,8-octanedithiol (DODT) in an electrospun poly(vinylidienefluoride) (PVDF) supporting membrane via a one-step photoinitiated in situ thiol-ene click reaction. The structure-optimized LiBAMB-PETMP-DODT (LPD)@PVDF SIPE shows an outstanding ionic conductivity of 1.32 x 10(-3) S cm(-1) at 25 degrees C, together with a high lithium-ion transference number of 0.92 and wide electrochemical window up to 6.0 V. The SIPE exhibits high tensile strength of 7.2 MPa and elongation at break of 269%. Due to these superior performances, the SIPE can suppress lithium dendrite growth, which is confirmed by galvanostatic Li plating/stripping cycling test and analysis of morphology of Li metal electrode surface after cycling test. Li vertical bar LPD@PVDF vertical bar Li symmetric cell maintains an extremely stable and low overpotential without short circuiting over the 1050 h cycle. The Li vertical bar LPD@PVDF vertical bar LiFePO4 cell shows excellent rate capacity and outstanding cycle performance compared to cells based on a conventional liquid electrolyte (LE) with Celgard separator. The facile approach of the SIPE provides an effective and promising electrolyte for safe, long-life, and high-rate lithium metal batteries.']",2018
385,10.1016/j.matchemphys.2010.05.041,Electrochemical characteristics of B4C or BN added MnO2 cathode material for alkaline batteries,No,"Boron carbide (B4C) and boron nitride (BN) are solid materials typically used in structural or thermal applications, not as soluble additives in aqueous electrolytes like saturated aqueous LiOH with ZnSO4. They are insoluble and could cause precipitation, instability, or incompatibility, making them inappropriate for this electrolyte system.",Pellet,Alkaline battery,MnO2 with B4C or BN additives,Zinc,Not found,Not found,Not found,Not found,Not found,"['Boron compounds generally produce a battery with high energy density. Since boron is an excellent conductor of electricity a battery with a high power density can also be achieved. With this objective, the electrochemical characteristics of boron carbide (B4C) added manganese dioxide (MnO2) for use as a cathode in alkaline battery were investigated during the discharge-charge process. Results of electrochemical measurements, X-ray diffraction and transmission electron microscopy show that boron aids the formation of lithium intercalated MnO2 (LixMnO2) during discharge with some degree of reversibility, however, capacity fade and a steep voltage profile is observed. The addition of boron nitride (BN) improved the discharge performance and characteristics of the cell are also compared and discussed. (C) 2010 Elsevier B.V. All rights reserved.']",2010
386,10.1021/acs.nanolett.5b02432,A Thermally Conductive Separator for Stable Li Metal Anodes,Not found,"Additive not provided, cannot assess appropriateness",Not found,Li metal anode battery,Not found,Li metal,1.0 M LiPF6 in ethylene carbonate/diethyl carbonate (EC:DEC = 1:1 by volume),Not found,Not found,Not found,Not found,"['Li metal anodes have attracted considerable research interest due to their low redox potential (-3.04 V vs standard hydrogen electrode) and high theoretical gravimetric capacity of 3861 mAh/g. Battery technologies using Li metal anodes have shown much higher energy density than current Li-ion batteries (LIBs) such as Li-O-2 and Li-S systems. However, issues related to dendritic Li formation and low Coulombic efficiency have prevented the use of Li metal anode technology in many practical applications. In this paper, a thermally conductive separator coated with boron-nitride (BN) nano-sheets has been developed to improve the stability of the Li metal anodes. It is found that using the BN-coated separator in a conventional organic carbonate-based electrolyte results in the Coulombic efficiency stabilizing at 92% over 100 cycles at a current rate of 0.5 mA/cm(2) and 88% at 1.0 mA/cm(2). The improved Coulombic efficiency and reliability of the Li metal anodes is due to the more homogeneous thermal distribution resulting from the thermally conductive BN coating and to the smaller surface area of initial Li deposition.']",2015
387,10.1149/1.1837334,A novel electrolyte solvent for rechargeable lithium and lithium-ion batteries,Yes,Reasonable,Coin,Li-ion battery,LiMnO2,Graphite or Carbonaceous,1.0 m LiClO4 in 1:2 BEG-1:EC mixture by weight,Boric acid esters of glycol,BEG-1,Boric acid esters of glycol,BEG-1,"['We describe a new type of electrolyte solvent which provides remarkable improvement in properties of electrolyte systems containing it. These solvents contain acidic boron atoms, in most cases Linked into heterocycles by reaction of boric acid, or oxide, with glycols. Nicknamed BEG solvents (for boric acid esters of glycol), these show great propensity for dissolving salts, stabilizing alkali metals against corrosion, and in some cases, stabilizing other solvents particularly alkene carbonates), against anodic decomposition. In the most favorable case so far, the 1,3 propylene glycol boric acid ester (BEG-1) which contains two linked berate groups, the mixed solvent formed by mixing 1 part BEG-1 with two parts ethylene carbonate provides an electrochemical stability window in excess of 5.8 V (cf. 4.5 V for ethylene carbonate alone against metallic Li, which remains shiny on prolonged (days) immersion at 100 degrees C. We present data on various electrolyte solutions containing these components and then show their utility in devices by rubberizing them with polymers and constructing voltaic cells Li/LiMn2O4 and C/LiMn2O4, which show excellent charge/discharge characteristics and cyclability.']",1996
388,10.1016/j.ssi.2014.06.001,Enhancement of high voltage cycling performance and thermal stability of LiNi1/3Co1/3Mn1/3O2 cathode by use of boron-based additives,Yes,Reasonable,Coin,Li-ion battery,LiNi1/3Co1/3Mn1/3O2,Lithium metal,"1 mol L−1 LiPF6 in EC/DEC/EMC (1:1:1, by volume)",Lithium bisoxalatoborate (LiBOB) and Lithium difluorooxalatoborate (LiDFOB),"LiBOB, LiDFOB","Lithium bisoxalatoborate, Lithium difluorooxalatoborate","LiBOB, LiDFOB","['The effects of lithium bisoxalatoborate (LiBOB) and lithium difluorooxalatoborate (LiDFOB) as electrolyte additives on the high voltage cycling performance of lithium-ion cells are investigated. With traces of 0.2 wt. % LiBOB or 0.5 wt % LiDFOB added, the cycling performance of Li/LiNi1/3Co1/3Mn1/3O2 cells charged to 4.6 V is improved. The electrochemical impedance spectroscopy (EIS) suggests that the additives can decrease impedance. The results of scanning electron microscopy (SEM) of the LiNi1/3Co1/3Mn1/3O2 cathode indicated the existence of this film. X-ray photoelectron spectroscopy (XPS) indicates the additives are justified to modify cathode surface films and suppress electrolyte oxidation reactions on the cathode surface. In addition, differential scanning calorimetric (DSC) studies show that thermal stability of fully charged Li1-xNi1/3Co1/3Mn1/3O2 cathode is improved in the presence of additives. (C) 2014 Elsevier B.V. All rights reserved.']",2014
389,10.1038/s41598-017-16597-7,Transport and Association of Ions in Lithium Battery Electrolytes Based on Glycol Ether Mixed with Halogen-Free Orthoborate Ionic Liquid,Yes,Reasonable,Not found,Li-ion battery,Not found,Not found,"Mixture of [P4,4,4,8][BScB] ionic liquid and diethylene glycol dibutyl ether (DEGDBE) in 1:5 molar ratio with Li[BScB] salt at concentrations from 0.15 to 1.0 mol kg⁻¹",Lithium bis(salicylato)borate (Li[BScB]),Li[BScB],Lithium bis(salicylato)borate (Li[BScB]),Li[BScB],"['Ion transport behaviour of halogen-free hybrid electrolytes for lithium-ion batteries based on phosphonium bis(salicylato)borate [P-4,P-4,P-4,P-8][BScB] ionic liquid mixed with diethylene glycol dibutyl ether (DEGDBE) is investigated. The Li[BScB] salt is dissolved at different concentrations in the range from 0.15 mol kg (1) to 1.0 mol kg (1) in a mixture of [P-4,P-4,P-4,P-8][BScB] and DEGDBE in 1:5 molar ratio. The ion transport properties of the resulting electrolytes are investigated using viscosity, electrical impedance spectroscopy and pulsed-Field Gradient (PFG) NMR. The apparent transfer numbers of ions are calculated from the diffusion coefficients measured by using PFG NMR. PFG NMR data suggested ion association upon addition of Li salt to the [P-4,P-4,P-4,P-8][BScB] in DEGDBE solution. This is further confirmed by liquid state Li-7 and B-11 NMR, and FTIR spectroscopic techniques, which suggest strong interactions between the lithium cation and oxygen atoms of the [BScB](-) anion in the hybrid electrolytes.']",2017
390,10.1016/j.electacta.2013.11.030,Discharge behavior of Li-Mg-B alloy/MnO2 couples with LiNO3-KNO3-Mg(OH)NO3 eutectic electrolyte,No,Additive not found in the provided information.,Not found,Thermal battery (Li-ion based),MnO2,Li-Mg-B alloy,Not found,Not found,Not found,Not found,Not found,"['A novel LiNO3-KNO3-Mg(OH)NO3 ternary molten salt system is used as electrolyte with Li-Mg-B alloy/MnO2 couples for possible use as a power source for geothermal borehole applications. Chemical-compatibility studies of these materials are conducted using simultaneous differential thermal analysis (DTA) and thermo gravimetric analysis (TGA). The ionic conductivity of the new electrolyte has been evaluated by electrochemical impedance spectroscopy (EIS) and its value range from 0.107 to 0.457 Scm(-1) in the temperature range from 150 to 300 degrees C. The discharge behavior of the system is studied over a temperature range of 150 to 300 degrees C at current densities from 10 to 30 mA cm(-2). At 200 to 300 degrees C, discharge behavior seems unaffected by discharge rate. However, the system has some specific restrictions associated with temperature. (C) 2013 Elsevier Ltd. All rights reserved.']",2013
391,10.1038/s41467-021-25610-7,Boron-doped sodium layered oxide for reversible oxygen redox reaction in Na-ion battery cathodes,Yes,Reasonable,Coin,Na-ion battery,NaLi1/9Ni2/9Fe2/9Mn4/9B1/50O2 (NLNFMB),Hard carbon,"1 M NaPF6 in ethylene carbonate (EC) and diethyl carbonate (DEC) (1:1 in volume; with the addition of 5 vol.% fluoroethylene carbonate, FEC)",Not found,Not found,Not found,Not found,"['The irreversible oxygen redox reaction during charging to the high-voltage region causes cathode structural degradation and Na-ion cell capacity fading. Here, the authors report a B-doped cathode active material to mitigate the irreversible oxygen oxidation and increase the cell capacity. Na-ion cathode materials operating at high voltage with a stable cycling behavior are needed to develop future high-energy Na-ion cells. However, the irreversible oxygen redox reaction at the high-voltage region in sodium layered cathode materials generates structural instability and poor capacity retention upon cycling. Here, we report a doping strategy by incorporating light-weight boron into the cathode active material lattice to decrease the irreversible oxygen oxidation at high voltages (i.e., >4.0 V vs. Na+/Na). The presence of covalent B-O bonds and the negative charges of the oxygen atoms ensures a robust ligand framework for the NaLi1/9Ni2/9Fe2/9Mn4/9O2 cathode material while mitigating the excessive oxidation of oxygen for charge compensation and avoiding irreversible structural changes during cell operation. The B-doped cathode material promotes reversible transition metal redox reaction enabling a room-temperature capacity of 160.5 mAh g(-1) at 25 mA g(-1) and capacity retention of 82.8% after 200 cycles at 250 mA g(-1). A 71.28 mAh single-coated lab-scale Na-ion pouch cell comprising a pre-sodiated hard carbon-based anode and B-doped cathode material is also reported as proof of concept.']",2021
392,10.1021/acsnano.9b04989,High-Modulus Hexagonal Boron Nitride Nanoplatelet Gel Electrolytes for Solid-State Rechargeable Lithium-Ion Batteries,No,"The additive 'Hexagonal Boron Nitride (hBN) nanoplatelets with carbon coating' is not a typical electrolyte additive; it may be intended as a solid component or coating rather than a soluble additive, which could lead to issues like poor solubility, instability, or incompatibility with the electrolyte system.",Coin and split test cells,Li-ion battery,"LTO, LFP, NMC, LNMO, Gr-LFP","Graphite (implied), Lithium metal",Not found,Not found,Not found,Not found,Not found,"['Solid-state electrolytes based on ionic liquids and a gelling matrix are promising for rechargeable lithium ion batteries due to their safety under diverse operating conditions, favorable electrochemical and thermal properties, and wide processing compatibility. However, gel electrolytes also suffer from low mechanical moduli, which imply poor structural integrity and thus an enhanced probability of electrical shorting, particularly under conditions that are favorable for lithium dendrite growth. Here, we realize high-modulus, ion-conductive gel electrolytes based on imidazolium ionic liquids and exfoliated hexagonal boron nitride (hBN) nanoplatelets. Compared to conventional bulk hBN microparticles, exfoliated hBN nanoplatelets improve the mechanical properties of gel electrolytes by 2 orders of magnitude (shear storage modulus similar to 5 MPa), while retaining high ionic conductivity at room temperature (>1 mS cm(-1)). Moreover, exfoliated hBN nanoplatelets are compatible with high-voltage cathodes (>5 V vs Li/Li+) and impart exceptional thermal stability that allows high-rate operation of solid-state rechargeable lithium-ion batteries at temperatures up to 175 degrees C.']",2019
393,10.1016/j.electacta.2017.01.005,Stabilizing lithium manganese oxide/organic carbonate electrolyte interface with a simple boron-containing additive,Yes,Reasonable,Coin,Li-ion battery,LiMn2O4,Graphite,"1.0 M LiPF6 in EC/EMC/DEC (3/5/2, in weight)",Tripropyl borate,TPB,Tripropyl borate,TPB,"['A simple boron -containing molecule, tripropyl borate (TPB), is used as an electrolyte additive to stabilize the interface between spinel lithium manganese oxide (LiMn2O4) and carbonate -based electrolyte under elevated temperature. Electrochemical measurements indicate that the cyclic stability of LiMn2O4 electrode can be significantly improved by TPB. The capacity retention of LiMn2O4 at 1C after 200 cycles under 55 degrees C is improved from 47% to 74% by adding 3% TPB into a standard electrolyte (1.0 mol L-1 LiPF6-EC/EMC/DEC (3/5/2, in weight)). Most importantly, the self-discharge of LiMn2O4 under 55 degrees C, which takes place dramatically in the standard electrolyte, is effectively suppressed in 3% TPB-containing electrolyte. Theoretical calculations and physical characterizations demonstrate that a protective cathode electrolyte interface (CEI) film is formed on LiMn2O4 from the preferential oxidation of TPB, which suppresses the oxidation decomposition of the standard electrolyte. Due to the incorporation of boron, the CEI film formed from TPB is beneficial to the rate capability of LiMn2O4. (C) 2017 Elsevier Ltd. All rights reserved.']",2017
394,10.1021/acsenergylett.1c01411,An Efficient Bulky Mg[B(Otfe)4]2 Electrolyte and Its Derivatively General Design Strategy for Rechargeable Magnesium Batteries,No,"Additive is not found, so it cannot be determined if it is appropriate for the battery's electrolyte requirements.",Coin,Rechargeable magnesium batteries (RMBs),"Mo6S8, Cu3Se2",Magnesium metal,Not found,Not found,Not found,Not found,Not found,"['The requirement of practical high-performance electrolytes is a key bottleneck restricting the development of rechargeable magnesium batteries (RMBs). Electrolytes based on weakly coordinated and fluorinated bulky boron-center anions (B(ORF)(4)(-)) have attracted wide attention for their admirable oxidation stability, high ionic conductivity, and weak corrosion. However, the complex synthesis route and costly raw materials still hinder their wide application. Therefore, a magnesium tetra(trifluoroethanoloxy)borate (Mg[B(Otfe)(4)](2)) is designed not only to inherit these merits above but also greatly cut down the synthetic costs. The as-prepared electrolyte is synthesized by two methods of microcrystal redissolution and in situ reaction, both of them cycle stably for reversible Mg plating-stripping with an average Coulombic efficiency of similar to 99% and overpotentials as low as 0.2 V, as well as an oxidation stability of more than 3 V vs Mg at stainless steel. The design strategy of the electrolyte and its compatibility with insertion or replacement-type cathodes promote the realization of practical RMBs.']",2021
395,10.1080/1536383X.2018.1562445,Boron-doped carbon microspheres as the catalyst for rechargeable Al-air batteries,No,"The additive is not found, which may indicate it is missing or unspecified, making it inappropriate for the battery's electrolyte requirements.",Swagelok-type,Al-air battery,Boron-doped carbon microspheres (B-CMs),Aluminum (Al),Not found,Not found,Not found,Not found,Not found,"['Three-dimensional mesoporous boron-doped carbon microspheres (B-CMs) were synthesized through a facile impregnation-calcination method. The B atoms introduced plentiful defects into the surfaces of CMs and were mainly presented in the form of boron carbide, which increases the specific surface area of the composite material and endows it with enhanced catalytic activity. A rechargeable aluminum (Al-)-air battery with B-CMs catalysts exhibited low overpotentials and its effective discharge capacity reached 300 mAh g(-1) at the current density of 50mA g(-1). The capacity of Al-air battery was maintained at 584 mAh g(-1) after 30 cycles.']",2019
396,10.1016/j.jpowsour.2013.09.028,Boron-based anion receptors in lithium-ion and metal-air batteries,Yes,Reasonable,Not found,Li-ion battery and Metal-air battery,Not found,Not found,Not found,"Tris(pentafluorophenyl)borane, Pentafluorophenyl(oxalato)borate, Lithium Difluoro(oxalato)borate, Trialkyl/triaryl borates and boranes, Boroxines, Trialkoxyboroxines, Borate esters","TPFPB, PFBO, LiDFOB, Trialkyl/triaryl borates and boranes, Boroxines, Trialkoxyboroxines, Borate esters","Tris(pentafluorophenyl)borane, Pentafluorophenyl(oxalato)borate, Lithium Difluoro(oxalato)borate, Trialkyl/triaryl borates and boranes, Boroxines, Trialkoxyboroxines, Borate esters","TPFPB, PFBO, LiDFOB, Trialkyl/triaryl borates and boranes, Boroxines, Trialkoxyboroxines, Borate esters","['Boron-based anion receptors, widely used as biosensors, are currently being explored as electrolyte-additives in lithium ion batteries and metal-air batteries, towards the goal of realizing high voltage, high energy density batteries. The potential advantage of the boron-based anion receptors as electrolyte-additives is to improve the lithium ion or metal-air battery cell cycle performance, and increase lithium ion transference numbers and ionic conductivity. These anion receptors also have unique characteristics that facilitate in maintaining a stable solid electrolyte interface (SEI) at the electrode surface. In this comprehensive review, we have outlined the synthesis, computational studies, and applications of various classes of boron-based anion receptors in lithium ion and metal-air batteries. (C) 2013 Elsevier B.V. All rights reserved.']",2013
397,10.1002/anie.202503376,Boron-Fluoride Dual-atom Synergistic Regulated Interface Coating Enables Stable Zn-Metal Anodes,Yes,Reasonable,Coin,Zinc-ion battery,MnO2,Zn metal,ZnSO4 with 0.05 m ZnF2 additive,Zinc fluoride,ZnF2,Not found,Not found,"['Aqueous zinc-based batteries provide promising opportunities for next-generation rechargeable batteries. Nevertheless, Zn anode encounters severe challenges, such as Zn dendrite formation, surface corrosion, and hydrogen evolution reaction (HER). Here, we report a strategy to spontaneously construct a boron-fluoride dual-atom regulated SEI (ZnBOF), which involves the formation of a B-compound coating through an etching process followed by an in situ F substitution during the initial electrochemical cycling. The ZnBOF/Zn anode benefits preferential deposition of Zn2+ along the (002) plane without Zn dendrite, and the side reactions including by-product and HER are dramatically suppressed. A combination of characterization methods, such as X-ray absorption spectroscopy, shows that the B-containing passivation layer facilitates the transport of Zn2+ and mitigates water-related side reactions, and the F atoms serve as zincophilic sites that enhance the transfer kinetics of Zn2+. As expected, the well-designed ZnBOF/Zn anode exhibits ultra-stable Zn plating/stripping for 5000 h at 2 mA cm-2. The assembled ZnBOF/Zn||MnO2 batteries show impressive cycling stability, remaining 96.2% of the initial capacity (234.3 mAh g-1) after 1700 cycles at 1.0 A g-1. Therefore, this work reveals a dual-atom synergistic regulated strategy to fabricate a robust SEI for Zn anode, which contributes to the development of aqueous zinc-based batteries.']",2025
398,10.1149/2.1211610jes,A Study of Li-Ion Cells Operated to 4.5 V and at 55°C,No,"The additives Triallyl phosphate (TAP) and Pyridine boron trifluoride (PBF) may not be standard or widely accepted for typical lithium-ion battery electrolytes; TAP could introduce flammability or stability issues, and PBF might not be compatible or effective in forming stable SEI layers.",Pouch,Li-ion battery,LaPO4-coated NMC442,Graphite,Not found,Not found,Not found,Not found,Not found,"['The long-term cycling behavior of 24 promising electrolyte blends were systematically studied in LaPO4-coated Li(Ni0.4Mn0.4Co0.2)O-2/graphite pouch type Li-ion cells tested to 4.5 V at 55 degrees C. Capacity fade during cycling, charge-transfer resistance (R-ct) before and after cycling as well as gas evolution during formation and also during cycling were examined and compared head-to-head. Of all the electrolytes tested, triallyl phosphate containing electrolytes including 2% vinylene carbonate + 2% triallyl phosphate in 1 M LiPF6 sulfolane: ethyl methyl carbonate and 2% prop-1-ene sultone + 2% triallyl phosphate in 1M LiPF6 ethylene carbonate: ethyl methyl carbonate electrolytes showed the best capacity retention, the least impedance growth and manageable amounts of gas evolution during long-term cycling. Pyridine boron trifluoride -based additives also showed excellent cycling performance but cells with those additives had higher gas evolution during cycling. Cells containing fluorinated electrolytes had similar cycling performance to cells containing 2% prop-1-ene sultone in ethylene carbonate: ethyl methyl carbonate electrolyte but with much more gas evolution and higher impedance after long-term cycling. The results suggest that electrolytes containing the additives triallyl phosphate or pyridine boron trifluoride may be promising for high voltage Li-ion cells at elevated temperature. (C) The Author(s) 2016. Published by ECS. All rights reserved.']",2016
399,10.1007/s10800-006-9175-2,"The behaviour of graphite, carbon black, and Li4Ti5O12 in LiBOB-based electrolytes",Yes,Reasonable,Coin,Li-ion battery,Not found,"Graphite, Carbon black, Li4Ti5O12",Saturated solution (~0.6 mol kg⁻¹) of LiBOB in EC-PC-DMC (1:1:3 by wt.),Lithium bis(oxalato)borate (LiBOB),LiBOB,Lithium bis(oxalato)borate,LiBOB,"['The film formation behaviour of lithium bis(oxalato)borate (LiBOB), a new electrolyte salt for lithium batteries, on graphite, carbon black and lithium titanate is reported. LiBOB is actively involved in the formation of the solid electrolyte interphase (SEI) at the anode. Part of this formation is an irreversible reductive reaction which takes place at potentials of around 1.75 V vs Li/Li+ and contributes to the irreversible capacity of anode materials in the first cycle. Carbon black interacts strongly with LiBOB-based electrolytes, which results in strong film formation and loss of electronic conductivity within the composite electrode. In LiBOB-based electrolytes the electrode kinetics increase in the order: carbon black << fine particulate graphite similar to metal powder, due to decreased film formation of the conductive additive. The influence of various solvents, surfactant additives, and potential impurities was also studied.']",2006
